과목명,학년,구분,개설학과,시수,과목코드,교수,시간
현대문학교육론,3,전공(심화),인문대학 국어국문학과,3/3/0,1101-3001,송기섭,수14:00~16:00(인0105)| 목14:00~15:00(인0105)
국문학사,3,전공(핵심),인문대학 국어국문학과,3/3/0,1101-3004,김진영,화16:00~17:00(인0104)| 목16:00~18:00(인0104)
국어의미론,3,전공(핵심),인문대학 국어국문학과,3/3/0,1101-3005,함병호,월16:00~18:00(인0105)| 수13:00~14:00(인0105)
소설론,3,전공(심화),인문대학 국어국문학과,3/3/0,1101-3007,송기섭,화14:00~16:00(인0105)| 목13:00~14:00(인0105)
조선조시가론,3,전공(심화),인문대학 국어국문학과,3/3/0,1101-3009,정기선,화10:00~11:00(인0105)| 목10:00~12:00(인0105)
국어규범론,3,전공(심화),인문대학 국어국문학과,3/3/0,1101-3015,김정태,월14:00~16:00(인0120)| 목15:00~16:00(인0120)
비교문학의이해,3,전공(심화),인문대학 국어국문학과,3/3/0,1101-3022,홍혜원,화11:00~12:00(인0105)| 수16:00~18:00(인0105)
비평론,4,전공(심화),인문대학 국어국문학과,3/3/0,1101-4002,홍혜원,화14:00~16:00(인0120)| 수14:00~15:00(인0120)
국어방언학,4,전공(심화),인문대학 국어국문학과,3/3/0,1101-4003,김정태,월16:00~17:00(인0120)| 목16:00~18:00(인0120)
외국어로서의 한국어교육,4,전공(심화),인문대학 국어국문학과,3/3/0,1101-4004,박재희,화17:00~18:00(인0104)| 수16:00~18:00(인0104)
고전소설론,4,전공(심화),인문대학 국어국문학과,3/3/0,1101-4007,조혜진,화09:00~10:00(인0120)| 목10:00~12:00(인0120)
고전시가의이해,4,전공(심화),인문대학 국어국문학과,3/3/0,1101-4012,김기영,화16:00~17:00(인0105)| 수10:00~12:00(인0105)
영어회화1,1,전공(기초),인문대학 영어영문학과,2/2/0,1102-1001,제러미로렌스셜리번,월14:00~16:00(인0501)
영어회화1,1,전공(기초),인문대학 영어영문학과,2/2/0,1102-1001,제러미로렌스셜리번,월16:00~18:00(인0501)
영어회화1,1,전공(기초),인문대학 영어영문학과,2/2/0,1102-1001,버나드 의성 박,화16:00~18:00(인0501)
영어회화1,1,전공(기초),인문대학 영어영문학과,2/2/0,1102-1001,버나드 의성 박,목16:00~18:00(인0133)
영어회화1,1,전공(기초),인문대학 영어영문학과,2/2/0,1102-1001,버나드 의성 박,수10:00~12:00(인0133)
영어회화1,1,전공(기초),인문대학 영어영문학과,2/2/0,1102-1001,버나드 의성 박,수13:00~15:00(인0132)
영작문 1,1,전공(기초),인문대학 영어영문학과,2/2/0,1102-1004,제러미로렌스셜리번,화10:00~12:00(인0501)
영작문 1,1,전공(기초),인문대학 영어영문학과,2/2/0,1102-1004,제러미로렌스셜리번,화12:00~14:00(인0501)
영작문 1,1,전공(기초),인문대학 영어영문학과,2/2/0,1102-1004,제러미로렌스셜리번,월10:00~12:00(인0132)
영작문 1,1,전공(기초),인문대학 영어영문학과,2/2/0,1102-1004,버나드 의성 박,목14:00~16:00(인0132)
영작문 1,1,전공(기초),인문대학 영어영문학과,2/2/0,1102-1004,버나드 의성 박,월14:00~16:00(인0456)
영작문 1,1,전공(기초),인문대학 영어영문학과,2/2/0,1102-1004,버나드 의성 박,월16:00~18:00(인0132)
대학영어 1,1,,인문대학 영어영문학과,2/2/0,1102-7005,김명주,화16:00~18:00(인0465)
대학영어 1,1,,인문대학 영어영문학과,2/2/0,1102-7005,박영원,목10:00~12:00(인0124)
대학영어 1,1,,인문대학 영어영문학과,2/2/0,1102-7005,엄정헌,목10:00~12:00(공2258-E)
대학영어 1,1,,인문대학 영어영문학과,2/2/0,1102-7005,서경숙,화14:00~16:00(공2258-B)
대학영어 1,1,,인문대학 영어영문학과,2/2/0,1102-7005,박은경,수13:00~15:00(인0456)
대학영어 1,1,,인문대학 영어영문학과,2/2/0,1102-7005,고윤힐,화14:00~16:00(공2258-A)
대학영어 1,1,,인문대학 영어영문학과,2/2/0,1102-7005,매튜앨런렌크,화10:00~12:00(공2258-A)
대학영어 1,1,,인문대학 영어영문학과,2/2/0,1102-7005,한정민,월10:00~12:00(공2258-A)
대학영어 1,1,,인문대학 영어영문학과,2/2/0,1102-7005,한정민,월14:00~16:00(공2258-B)
대학영어 1,1,,인문대학 영어영문학과,2/2/0,1102-7005,송숙이,금10:00~12:00(공2258-A)
대학영어 1,1,,인문대학 영어영문학과,2/2/0,1102-7005,송숙이,금12:00~14:00(공2258-A)
대학영어 1,1,,인문대학 영어영문학과,2/2/0,1102-7005,양정연,수10:00~12:00(공2258-B)
대학영어 1,1,,인문대학 영어영문학과,2/2/0,1102-7005,양정연,수13:00~15:00(공2258-B)
대학영어 1,1,,인문대학 영어영문학과,2/2/0,1102-7005,우든버그 네이든 아서,목16:00~18:00(공2258-E)
대학영어 1,1,,인문대학 영어영문학과,2/2/0,1102-7005,매튜앨런렌크,화14:00~16:00(공2258-E)
대학영어 1,1,,인문대학 영어영문학과,2/2/0,1102-7005,매튜앨런렌크,화16:00~18:00(공2258-E)
대학영어 1,1,,인문대학 영어영문학과,2/2/0,1102-7005,매튜앨런렌크,수10:00~12:00(공2258-E)
대학영어 1,1,,인문대학 영어영문학과,2/2/0,1102-7005,마이클존휴즈,월16:00~18:00(공2258-A)
대학영어 1,1,,인문대학 영어영문학과,2/2/0,1102-7005,마이클존휴즈,목10:00~12:00(공2258-B)
대학영어 1,1,,인문대학 영어영문학과,2/2/0,1102-7005,마이클존휴즈,목14:00~16:00(공2258-B)
대학영어 1,1,,인문대학 영어영문학과,2/2/0,1102-7005,마이클존휴즈,목16:00~18:00(공2258-C)
대학영어 1,1,,인문대학 영어영문학과,2/2/0,1102-7005,유영옥,수19:00~21:00(다2352)
대학영어 2,1,,인문대학 영어영문학과,2/2/0,1102-7006,최동오,화10:00~12:00(인0124)
대학영어 2,1,,인문대학 영어영문학과,2/2/0,1102-7006,최동오,목10:00~12:00(인0133)
대학영어 2,1,,인문대학 영어영문학과,2/2/0,1102-7006,전주현,목16:00~18:00(인0132)
대학영어 2,1,,인문대학 영어영문학과,2/2/0,1102-7006,정혜인,월14:00~16:00(공2258-A)
대학영어 2,1,,인문대학 영어영문학과,2/2/0,1102-7006,정혜인,목14:00~16:00(공2258-A)
대학영어 2,1,,인문대학 영어영문학과,2/2/0,1102-7006,채희숙,화14:00~16:00(공2258-C)
대학영어 2,1,,인문대학 영어영문학과,2/2/0,1102-7006,채희숙,화16:00~18:00(공2258-C)
대학영어 2,1,,인문대학 영어영문학과,2/2/0,1102-7006,한정민,화10:00~12:00(공2258-B)
대학영어 2,1,,인문대학 영어영문학과,2/2/0,1102-7006,송숙이,목16:00~18:00(공2258-B)
대학영어 2,1,,인문대학 영어영문학과,2/2/0,1102-7006,양정연,수15:00~17:00(공2258-B)
대학영어 2,1,,인문대학 영어영문학과,2/2/0,1102-7006,대럴 몽크맨,수10:00~12:00(공2258-A)
대학영어 2,1,,인문대학 영어영문학과,2/2/0,1102-7006,대럴 몽크맨,수13:00~15:00(공2258-A)
대학영어 2,1,,인문대학 영어영문학과,2/2/0,1102-7006,대럴 몽크맨,수15:00~17:00(공2258-A)
대학영어 2,1,,인문대학 영어영문학과,2/2/0,1102-7006,대럴 몽크맨,목10:00~12:00(공2258-A)
대학영어 2,1,,인문대학 영어영문학과,2/2/0,1102-7006,대럴 몽크맨,금10:00~12:00(공2258-B)
대학영어 2,1,,인문대학 영어영문학과,2/2/0,1102-7006,스티븐 로랜드,월10:00~12:00(공2258-B)
대학영어 2,1,,인문대학 영어영문학과,2/2/0,1102-7006,스티븐 로랜드,월16:00~18:00(공2258-B)
대학영어 2,1,,인문대학 영어영문학과,2/2/0,1102-7006,스티븐 로랜드,화16:00~18:00(공2258-A)
대학영어 2,1,,인문대학 영어영문학과,2/2/0,1102-7006,스티븐 로랜드,목10:00~12:00(공2258-E)
대학영어 2,1,,인문대학 영어영문학과,2/2/0,1102-7006,스티븐 로랜드,목14:00~16:00(공2258-E)
대학영어 2,1,,인문대학 영어영문학과,2/2/0,1102-7006,루크윌리엄바이비,화10:00~12:00(공2258-E)
대학영어 2,1,,인문대학 영어영문학과,2/2/0,1102-7006,루크윌리엄바이비,수13:00~15:00(공2258-E)
대학영어 2,1,,인문대학 영어영문학과,2/2/0,1102-7006,루크윌리엄바이비,수15:00~17:00(공2258-E)
대학영어 2,1,,인문대학 영어영문학과,2/2/0,1102-7006,루크윌리엄바이비,화14:00~16:00(공2258-D)
대학영어 2,1,,인문대학 영어영문학과,2/2/0,1102-7006,루크윌리엄바이비,화16:00~18:00(공2258-D)
영미명작읽기,1,,인문대학 영어영문학과,3/3/0,1102-7007,정귀훈,화13:00~15:00(교208)| 목13:00~14:00(교208)
통합영어,1,,인문대학 영어영문학과,3/3/0,1102-7011,러셀커크비,월10:30~12:00(공2258-C)| 수10:30~12:00(공2258-C)
통합영어,1,,인문대학 영어영문학과,3/3/0,1102-7011,러셀커크비,월13:30~15:00(공2258-C)| 수13:30~15:00(공2258-C)
통합영어,1,,인문대학 영어영문학과,3/3/0,1102-7011,러셀커크비,월16:30~18:00(공2258-C)| 수16:30~18:00(공2258-C)
실용의사소통영어,1,,인문대학 영어영문학과,3/3/0,1102-7012,우든버그 네이든 아서,월10:30~12:00(공2258-G)| 목10:30~12:00(공2258-G)
실용의사소통영어,1,,인문대학 영어영문학과,3/3/0,1102-7012,우든버그 네이든 아서,월13:30~15:00(공2258-G)| 금10:30~12:00(공2258-G)
실용의사소통영어,1,,인문대학 영어영문학과,3/3/0,1102-7012,우든버그 네이든 아서,월15:00~16:30(공2258-G)| 목13:30~15:00(공2258-G)
실용의사소통영어,1,,인문대학 영어영문학과,3/3/0,1102-7012,정귀훈,화10:30~12:00(공2258-H)| 목10:30~12:00(공2258-H)
World Englishes and Cross-cultural Communication,1,,인문대학 영어영문학과,3/3/0,1102-7013,김웅식,월12:00~13:30(교205)| 수12:00~13:30(교205)
시사영어,1,,인문대학 영어영문학과,3/3/0,1102-7018,박영원,월10:00~12:00(교101)| 수09:00~10:00(교101)
시사영어,1,,인문대학 영어영문학과,3/3/0,1102-7018,민경택,월14:00~16:00(인0124)| 수10:00~11:00(인0124)
고급영문읽기,1,,인문대학 영어영문학과,3/3/0,1102-7019,최동오,월16:00~18:00(교213)| 수09:00~10:00(교213)
영미언어와문화,1,,인문대학 영어영문학과,3/3/0,1102-7020,김웅식,화11:00~13:00(교213)| 수14:00~15:00(교213)
영어발음의기초,1,,인문대학 영어영문학과,3/3/0,1102-7021,조현관,월15:00~18:00(인0465)
중급영어회화,1,,인문대학 영어영문학과,3/3/0,1102-7022,고윤힐,화10:30~12:00(교205)| 목13:30~15:00(교205)
영미문화읽기:주제별,1,교양(전문기초),인문대학 영어영문학과,3/3/0,1102-7023,제러미로렌스셜리번,수12:00~13:00(인0124)| 금11:00~13:00(인0124)
대학생활과 진로설계,1,교양(공통기초),인문대학 영어영문학과,1/1/0,1102-7024,김명주,수17:00~18:00(인0124)
미래설계상담2,2,전공(기초),인문대학 영어영문학과,0/0/0,1100-1002,김명주,
영문법,2,전공(기초),인문대학 영어영문학과,3/3/0,1102-2001,최재훈,수14:00~16:00(인0460)| 목17:00~18:00(인0465)
영문법,2,전공(기초),인문대학 영어영문학과,3/3/0,1102-2001,정혜인,월10:00~12:00(인0456)| 수17:00~18:00(인0460)
영어음성학,2,전공(핵심),인문대학 영어영문학과,3/3/0,1102-2002,조현관,목15:00~18:00(인0460)
영어회화 3,2,전공(심화),인문대학 영어영문학과,2/2/0,1102-2003,제러미로렌스셜리번,목12:00~14:00(인0501)
영어회화 3,2,전공(심화),인문대학 영어영문학과,2/2/0,1102-2003,버나드 의성 박,화14:00~16:00(인0132)
영국문학의 이해,2,전공(기초),인문대학 영어영문학과,3/3/0,1102-2006,최동오,화16:00~18:00(인0124)| 목17:00~18:00(인0124)
영국문학의 이해,2,전공(기초),인문대학 영어영문학과,3/3/0,1102-2006,박은경,월16:00~18:00(인0456)| 수15:00~16:00(인0456)
희곡의 이해,2,전공(핵심),인문대학 영어영문학과,3/3/0,1102-2007,박영원,월14:00~16:00(인0460)| 수13:00~14:00(인0460)
희곡의 이해,2,전공(핵심),인문대학 영어영문학과,3/3/0,1102-2007,오길영,수14:00~16:00(인0124)| 목13:00~14:00(인0124)
현대 미국소설,2,전공(핵심),인문대학 영어영문학과,3/3/0,1102-2010,김명주,월16:00~18:00(교213)| 수16:00~17:00(교213)
미래설계상담4,3,전공(기초),인문대학 영어영문학과,0/0/0,1100-2002,김명주,
미래설계상담5,3,전공(기초),인문대학 영어영문학과,0/0/0,1100-3001,김명주,
19세기 미국소설,3,전공(핵심),인문대학 영어영문학과,3/3/0,1102-3002,민경택,월10:00~12:00(인0460)| 수11:00~12:00(인0460)
중세·르네상스 영국문학,3,전공(핵심),인문대학 영어영문학과,3/3/0,1102-3003,박영원,화13:00~15:00(인0460)| 목14:00~15:00(인0460)
영어통사론,3,전공(심화),인문대학 영어영문학과,3/3/0,1102-3009,최재훈,수13:00~14:00(인0124)| 목15:00~17:00(인0124)
멀티미디어 영어교육,3,전공(심화),인문대학 영어영문학과,3/3/0,1102-3011,이상희,월11:00~12:00(인0465)| 수10:00~12:00(인0465)
인지와언어,3,전공(핵심),인문대학 영어영문학과,3/3/0,1102-3015,김웅식,월16:00~18:00(인0124)| 화15:00~16:00(인0124)
인지와언어,3,전공(핵심),인문대학 영어영문학과,3/3/0,1102-3015,주미영,화13:00~15:00(인0124)| 목14:00~15:00(인0124)
낭만주의문학,3,전공(핵심),인문대학 영어영문학과,3/3/0,1102-3016,최동오,화15:00~16:00(인0465)| 목15:00~17:00(인0465)
기초영한번역,3,전공(핵심),인문대학 영어영문학과,3/3/0,1102-3018,전주현,화09:00~11:00(인0460)| 목14:00~15:00(인0456)
기초영한번역,3,전공(핵심),인문대학 영어영문학과,3/3/0,1102-3018,전주현,화11:00~13:00(인0460)| 목15:00~16:00(인0456)
미래설계상담6,4,전공(기초),인문대학 영어영문학과,0/0/0,1100-3002,김명주,
영미문예사조,4,전공(심화),인문대학 영어영문학과,3/3/0,1102-4002,오길영,수10:00~11:00(인0460)| 목10:00~12:00(인0460)
영어학연구,4,전공(심화),인문대학 영어영문학과,3/3/0,1102-4009,채희숙,수15:00~18:00(인0465)
문장구역실습,4,전공(심화),인문대학 영어영문학과,3/3/0,1102-4010,유영옥,월12:00~14:00(인0465)| 수12:00~13:00(인0465)
영미아동문학,4,전공(심화),인문대학 영어영문학과,3/3/0,1102-4011,박은경,화13:00~15:00(인0465)| 목11:00~12:00(인0465)
독회화1,1,전공(기초),인문대학 독어독문학과,3/3/0,1103-1001,켈핀 말테,수10:00~12:00(인0360)| 목13:00~14:00(인0360)
독회화1,1,전공(기초),인문대학 독어독문학과,3/3/0,1103-1001,켈핀 말테,수13:00~14:00(인0360)| 목10:00~12:00(인0360)
독문법,1,전공(핵심),인문대학 독어독문학과,3/3/0,1103-1005,이해정,월14:00~15:00(인0122)| 화10:00~12:00(인0122)
독일어 발음과 어휘,1,전공(핵심),인문대학 독어독문학과,3/3/0,1103-1006,이정현,월11:00~12:00(인0122)| 화14:00~16:00(인0122)
독일영화의 이해,1,전공(핵심),인문대학 독어독문학과,3/3/0,1103-1010,임유영,화13:00~14:00(인0122)| 금10:00~12:00(인0122)
기초독일어,1,,인문대학 독어독문학과,3/3/0,1103-7001,이해정,월10:00~12:00(교104A)| 수09:00~10:00(교104A)
기초독일어,1,,인문대학 독어독문학과,3/3/0,1103-7001,이정현,화12:00~13:00(교104A)| 목12:00~14:00(교104A)
기초독일어,1,,인문대학 독어독문학과,3/3/0,1103-7001,함수옥,수16:00~18:00(교104A)| 금15:00~16:00(교104A)
기초독일어,1,,인문대학 독어독문학과,3/3/0,1103-7001,임유영,월14:00~16:00(교104A)| 수13:00~14:00(교104A)
기초독일어,1,,인문대학 독어독문학과,3/3/0,1103-7001,임유영,화15:00~16:00(교104A)| 목15:00~17:00(교104A)
독일명작의 이해,1,,인문대학 독어독문학과,3/3/0,1103-7004,최문선,화12:00~13:00(교408)| 목12:00~14:00(교408)
독일문화 산책,1,,인문대학 독어독문학과,3/3/0,1103-7005,서경홍,화09:00~10:00(교105)| 목10:00~12:00(교105)
대학생활과 진로설계,1,교양(공통기초),인문대학 독어독문학과,1/1/0,1103-7008,이정현,월13:00~14:00(인0110)
미래설계상담2,2,전공(기초),인문대학 독어독문학과,0/0/0,1100-1002,이정현,
미래설계상담3,2,전공(기초),인문대학 독어독문학과,0/0/0,1100-2001,이정현,
독문학입문,2,전공(기초),인문대학 독어독문학과,3/3/0,1103-2001,함수옥,화14:00~16:00(인0110)| 목14:00~15:00(인0110)
독회화3,2,전공(기초),인문대학 독어독문학과,3/3/0,1103-2006,켈핀 말테,월10:00~12:00(인0360)| 화13:00~14:00(인0360)
독회화3,2,전공(기초),인문대학 독어독문학과,3/3/0,1103-2006,켈핀 말테,월13:00~14:00(인0360)| 화10:00~12:00(인0360)
실용텍스트작문1,2,전공(핵심),인문대학 독어독문학과,3/3/0,1103-2008,이정현,수14:00~16:00(인0103)| 목15:00~16:00(인0103)
독일어권 지역학 입문,2,전공(핵심),인문대학 독어독문학과,3/3/0,1103-2014,서경홍,수10:00~12:00(인0110)| 목13:00~14:00(인0110)
독일의 언어와 비즈니스 문화,2,전공(심화),인문대학 독어독문학과,3/3/0,1103-2020,최문선,월16:00~18:00(인0122)| 금14:00~15:00(인0122)
미래설계상담4,3,전공(기초),인문대학 독어독문학과,0/0/0,1100-2002,이정현,
시사독일어,3,전공(심화),인문대학 독어독문학과,3/3/0,1103-3002,민향기,화14:00~16:00(인0103)| 목13:00~14:00(인0103)
독일드라마감상,3,전공(심화),인문대학 독어독문학과,3/3/0,1103-3004,함수옥,화10:00~12:00(인0110)| 수14:00~15:00(인0110)
심화독일어,3,전공(심화),인문대학 독어독문학과,3/3/0,1103-3013,켈핀 말테,월14:00~16:00(인0103)| 목14:00~15:00(인0103)
경제로 읽는 독일문학,3,전공(심화),인문대학 독어독문학과,3/3/0,1103-3021,임유영,수16:00~18:00(인0122)| 금13:00~14:00(인0122)
미래설계상담6,4,전공(기초),인문대학 독어독문학과,0/0/0,1100-3002,이정현,
독일어교육론,4,전공(심화),인문대학 독어독문학과,2/2/0,1103-4001,민향기,목14:00~16:00(인0360)
